this is the caculated Trajectory to perches the drone and the unit Vector in the diraction the drone continues flying, the time between the steps is assumed to be 0.05
xCoordinates yCoordinates zCoordinates vx vy vz yarnAngel
0.000000000000000000e+00 -5.608860312328278752e-02 1.917296479003719689e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.362468733374671004e-01 1.857504693005181284e+00 0.000000000000000000e+00 8.217942925582745195e-01 5.697842931484203843e-01 0.000000000000000000e+00
0.000000000000000000e+00 -2.184279706405543031e-01 1.800525107163532645e+00 0.000000000000000000e+00 8.410360151673069717e-01 5.409791319371731744e-01 0.000000000000000000e+00
0.000000000000000000e+00 -3.025332792606727494e-01 1.746426095910645238e+00 0.000000000000000000e+00 8.592685103684652992e-01 5.115248059372670131e-01 0.000000000000000000e+00
0.000000000000000000e+00 -3.884618744085417408e-01 1.695272577043036133e+00 0.000000000000000000e+00 8.764698995102530032e-01 4.814566597862023900e-01 0.000000000000000000e+00
0.000000000000000000e+00 -4.761106433853248276e-01 1.647125933821729671e+00 0.000000000000000000e+00 8.926195412490607328e-01 4.508107746941241167e-01 0.000000000000000000e+00
0.000000000000000000e+00 -5.653744093159263073e-01 1.602043941313500142e+00 0.000000000000000000e+00 9.076980563183989492e-01 4.196239251470305631e-01 0.000000000000000000e+00
0.000000000000000000e+00 -6.561460573592663437e-01 1.560080697061878574e+00 0.000000000000000000e+00 9.216873507836321755e-01 3.879335347781237564e-01 0.000000000000000000e+00
0.000000000000000000e+00 -7.483166632440756416e-01 1.521286556171114412e+00 0.000000000000000000e+00 9.345706377543873122e-01 3.557776314600987200e-01 0.000000000000000000e+00
0.000000000000000000e+00 -8.417756239759732750e-01 1.485708070881000431e+00 0.000000000000000000e+00 9.463324575284853823e-01 3.231948016724548456e-01 0.000000000000000000e+00
0.000000000000000000e+00 -9.364107905589822423e-01 1.453387934705057560e+00 0.000000000000000000e+00 9.569586961433040884e-01 2.902241441984235726e-01 0.000000000000000000e+00
0.000000000000000000e+00 -1.032108602572212375e+00 1.424364931199123330e+00 0.000000000000000000e+00 9.664366023122652471e-01 2.569052232071673547e-01 0.000000000000000000e+00
0.000000000000000000e+00 -1.128754224440238652e+00 1.398673887421811646e+00 0.000000000000000000e+00 9.747548027261346837e-01 2.232780207775369730e-01 0.000000000000000000e+00
0.000000000000000000e+00 -1.226231683233623304e+00 1.376345632142698339e+00 0.000000000000000000e+00 9.819033157007898138e-01 1.893828889202903709e-01 0.000000000000000000e+00
0.000000000000000000e+00 -1.324424007834257511e+00 1.357406958848378142e+00 0.000000000000000000e+00 9.878735631550426000e-01 1.552605011564759108e-01 0.000000000000000000e+00
0.000000000000000000e+00 -1.423213369298501396e+00 1.341880593590783377e+00 0.000000000000000000e+00 9.926583809041795714e-01 1.209518037099601429e-01 0.000000000000000000e+00
0.000000000000000000e+00 -1.522481222249702615e+00 1.329785167716348582e+00 0.000000000000000000e+00 9.962520272568496926e-01 8.649796637272615107e-02 0.000000000000000000e+00
0.000000000000000000e+00 -1.622108447130419684e+00 1.321135195508745142e+00 0.000000000000000000e+00 9.986501899049864406e-01 5.194033310188263253e-02 0.000000000000000000e+00
0.000000000000000000e+00 -1.721975493143651281e+00 1.315941056772015116e+00 0.000000000000000000e+00 9.998499910984937067e-01 1.732037240771923739e-02 0.000000000000000000e+00
0.000000000000000000e+00 -1.821962521711544714e+00 1.314208984375000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
