#{"t_start": 1718500229.835592, "env_id": "None"}
r,l,t,num_wraps,c
-368.227934,100,1.644691,0.0,0
-336.945532,100,4.364488,0.0,0
-359.791305,100,6.813102,0.0,0
-367.538377,100,9.134804,0.0,0
-343.264058,100,11.37895,0.0,0
-334.973248,100,13.62568,0.0,0
-360.692342,100,15.880198,0.0,0
-322.900032,100,18.252641,0.0,3
-342.956274,100,20.624519,0.0,0
-359.302868,100,23.013771,0.0,0
-359.992636,100,25.313995,0.0,0
-343.261837,100,27.657239,0.0,0
-347.184893,100,29.931071,0.0,0
-347.576582,100,32.256073,0.0,0
-345.503288,100,34.48172,0.0,0
-343.05695,100,36.704399,0.0,0
-330.606493,100,39.091203,0.0,0
-333.832469,100,41.4216,0.0005457040069337893,1
-334.271155,100,43.819695,0.0,2
-345.914126,100,46.086825,0.0,0
-340.265017,100,48.5237,0.0,1
-341.905259,100,50.864017,0.0,0
-325.553378,100,53.239604,0.0,0
-356.377051,100,55.565007,0.0,2
-347.493441,100,58.049613,0.0,0
-345.538811,100,60.520494,0.0,1
-322.710402,100,63.073493,0.018965746670063073,2
-329.470572,100,65.481172,0.0,0
-365.713359,100,67.804254,0.0,0
-353.323248,100,70.248274,0.0,3
-347.69249,100,72.734302,0.0,0
-329.131737,100,75.075273,0.0,0
-357.753353,100,77.380576,0.0,0
-334.605527,100,79.856458,0.0,5
-351.463795,100,82.354724,0.0,0
-334.033523,100,84.703192,0.0,0
-336.532989,100,87.035895,0.0,0
-335.039239,100,89.3893,0.09478026832549905,4
-322.974829,100,91.695725,0.0,0
-343.878548,100,94.063795,0.0,1
-269.710763,82,96.078668,1.036078307108318,1
-317.670008,100,98.471614,0.0,0
-298.989052,100,100.880904,0.0,0
-291.908937,100,103.280258,0.0,5
-252.737928,89,105.587699,0.9001738221066473,0
-327.203487,100,108.03381,0.0,0
-326.936559,100,110.376251,0.0,0
-324.931032,100,112.695906,0.0,0
-321.076951,100,115.076572,0.0,0
-307.38761,100,117.562991,0.0,2
-311.838736,100,133.434241,0.0,0
-309.245142,100,135.961888,0.0,1
-316.59966,100,138.512112,0.0,1
-322.209206,100,141.00357,0.0,1
-320.42733,100,143.462138,0.0,0
-317.699045,100,145.740377,0.0,0
-320.002152,100,148.157976,0.0,1
-315.096698,100,150.474052,0.0,0
-319.134804,100,152.931882,0.0,0
-311.772764,100,155.296494,0.0,0
-306.44165,100,157.886691,0.0,0
-310.71029,100,160.34581,0.0,0
-320.73555,100,162.764576,0.0,0
-318.551781,100,165.105524,0.0,1
-303.504446,100,167.567267,0.0,0
-316.170417,100,169.846885,0.0,0
-313.738244,100,172.397245,0.0,0
-313.543666,100,174.807538,0.0,0
-318.582773,100,177.258131,0.0,2
-310.727368,100,179.700148,0.0,0
-312.09788,100,182.110129,0.0,0
