#{"t_start": 1718504223.852203, "env_id": "None"}
r,l,t,num_wraps,c
-368.227934,100,1.584235,0.0,0
-372.107174,100,3.075225,0.0,0
-373.90656,100,4.949167,0.0,0
-377.474628,100,6.542296,0.0,0
-378.636142,100,8.11632,0.0,0
-378.980554,100,9.592977,0.0,0
-377.445899,100,11.137367,0.0,0
-377.954689,100,12.630747,0.0,0
-378.438112,100,14.14063,0.0,0
-377.854678,100,15.72597,0.0,0
-377.872222,100,17.30164,0.0,0
-378.604489,100,18.877157,0.0,0
-377.040883,100,20.386104,0.0,0
-378.009581,100,21.961891,0.0,0
-378.853439,100,23.48639,0.0,0
-375.822207,100,25.307627,0.0,0
-357.297325,100,27.209502,0.0,0
-354.291027,100,29.234939,0.0,0
-360.924209,100,31.067934,0.0,0
-366.637554,100,32.799981,0.0,0
-371.574504,100,34.470366,0.0,0
-372.75548,100,36.141285,0.0,0
-365.170001,100,37.996602,0.0,0
-357.366469,100,39.896124,0.0,0
-351.462753,100,41.973926,0.0,0
-348.144735,100,43.971434,0.0,0
-344.136791,100,45.755441,0.0,0
-343.147991,100,47.50535,0.0,0
-346.829327,100,49.339439,0.0,0
-345.893364,100,51.084046,0.0,0
-346.93731,100,52.96739,0.0,0
-366.385863,100,55.064348,0.0,0
-360.351475,100,57.317945,0.0,0
-368.509531,100,58.993228,0.0,0
-368.872915,100,60.729852,0.0,0
-366.937103,100,62.512444,0.0,0
-359.216554,100,64.290408,0.0,0
-364.492359,100,66.085789,0.0,0
-362.204841,100,67.836604,0.0,0
-366.36613,100,69.741177,0.0,0
-365.297628,100,71.557636,0.0,0
-370.040394,100,73.342174,0.0,0
-368.826255,100,75.1664,0.0,0
-368.497223,100,77.068664,0.0,0
-369.659951,100,78.976459,0.0,0
-369.374298,100,80.809226,0.0,0
-370.716275,100,82.816837,0.0,0
-368.035791,100,84.782976,0.0,0
-366.457028,100,86.980889,0.0,0
-367.915511,100,89.04302,0.0,0
-366.611049,100,91.275812,0.0,0
-361.442633,100,93.753556,0.0,0
-359.075163,100,96.118565,0.0,0
-361.265338,100,98.193378,0.0,0
-361.745699,100,100.316926,0.0,0
-363.287009,100,102.382206,0.0,0
-365.408006,100,104.404983,0.0,0
-369.875226,100,106.102382,0.0,0
-312.479004,100,107.809724,0.0,0
-314.644947,100,109.504922,0.0,0
-325.542386,100,111.163118,0.0,0
-324.618141,100,112.822903,0.0,0
-317.888402,100,114.451758,0.0,0
-320.871653,100,116.04549,0.0,0
-320.864882,100,117.769289,0.0,0
-322.894738,100,119.369404,0.0,0
-323.146742,100,120.977422,0.0,0
-321.580588,100,122.645127,0.0,0
-323.281424,100,124.280354,0.0,0
-324.557977,100,125.887196,0.0,0
-322.904359,100,127.548916,0.0,0
-324.810622,100,129.230731,0.0,0
-324.135619,100,131.006492,0.0,0
-323.543513,100,132.637981,0.0,0
-325.1629,100,134.233555,0.0,0
-323.368391,100,135.835827,0.0,0
-325.237919,100,137.528265,0.0,0
-324.916076,100,139.151075,0.0,0
-326.853333,100,140.817207,0.0,0
-326.6357,100,142.435393,0.0,0
-328.989206,100,144.053338,0.0,0
-327.976257,100,145.667547,0.0,0
-328.055039,100,147.333716,0.0,0
-329.646068,100,148.972669,0.0,0
-334.087903,100,150.597397,0.0,0
-333.683138,100,152.283021,0.0,0
-332.262305,100,153.986825,0.0,0
-331.953565,100,155.662868,0.0,0
-332.234241,100,157.360394,0.0,0
-331.543877,100,159.024357,0.0,0
-332.252855,100,160.769382,0.0,0
-331.457683,100,162.519843,0.0,0
-331.305015,100,164.26938,0.0,0
-332.145077,100,166.005603,0.0,0
-331.125567,100,167.914712,0.0,0
-330.24955,100,169.620974,0.0,0
-330.601632,100,171.331934,0.0,0
-331.600077,100,173.084727,0.0,0
-329.759889,100,174.868492,0.0,0
-329.523816,100,176.586369,0.0,0
-327.408889,100,178.515227,0.0,0
-325.879069,100,180.286893,0.0,0
-323.851687,100,182.079309,0.0,0
-57.173105,20,182.880633,0.9036163027043295,0
-60.90109,21,183.253755,0.9024938077216998,0
-326.725645,100,184.636193,0.0,0
-365.871573,100,186.634215,0.0,0
-369.202825,100,188.510039,0.0,0
-331.77282,100,190.25055,0.0,0
-370.603722,100,192.302977,0.0,0
-368.947422,100,194.217628,0.0,0
-365.974522,100,196.796638,0.0,0
-369.113444,100,199.002652,0.0,0
-328.117244,100,200.74637,0.0,0
-368.805202,100,202.859197,0.0,0
-367.860795,100,204.894336,0.0,0
-364.650674,100,207.098811,0.0,0
-341.281809,100,208.864034,0.0,0
-365.647289,100,211.024389,0.0,0
-366.06183,100,213.166069,0.0,0
-334.591735,100,214.854256,0.0,0
-360.719146,100,216.695905,0.0,0
-368.670013,100,218.760559,0.0,0
-346.278567,100,220.441075,0.0,0
-334.779833,100,222.140103,0.0,0
-371.065603,100,224.176933,0.0,0
-369.049208,100,226.137574,0.0,0
-368.977114,100,228.135551,0.0,0
-369.591345,100,230.057031,0.0,0
-363.36242,100,232.128633,0.0,0
-354.439701,100,233.919275,0.0,0
-360.696421,100,235.872925,0.0,0
-356.322045,100,237.844611,0.0,0
-354.958564,100,239.7717,0.0,0
-358.808145,100,241.772642,0.0,0
-353.502482,100,243.682448,0.0,0
-357.294923,100,245.715731,0.0,0
-362.245604,100,247.922092,0.0,0
-361.417258,100,250.131322,0.0,0
-360.96729,100,252.20153,0.0,0
-360.72536,100,254.418571,0.0,0
-364.210871,100,256.533727,0.0,0
-358.72311,100,258.575094,0.0,0
-356.423406,100,260.786882,0.0,0
-357.232907,100,262.793086,0.0,0
-354.532166,100,264.863942,0.0,0
-356.344727,100,266.85053,0.0,0
-356.208773,100,268.934681,0.0,0
-357.514191,100,271.004746,0.0,0
-355.566192,100,273.169189,0.0,0
-355.955972,100,275.234303,0.0,0
-359.077959,100,277.44346,0.0,0
-358.704506,100,279.597344,0.0,0
-360.218241,100,281.58616,0.0,0
-355.446661,100,283.489329,0.0,0
-353.928606,100,285.41951,0.0,0
-353.672037,100,287.416592,0.0,0
-353.109934,100,289.498783,0.0,0
-352.622095,100,291.445308,0.0,0
-353.072264,100,293.26797,0.0,0
-354.179014,100,295.336144,0.0,0
-354.291108,100,297.327199,0.0,0
-353.803392,100,299.092112,0.0,0
-348.766542,100,301.028453,0.0,0
-353.504577,100,302.8711,0.0,0
-355.358521,100,305.015519,0.0,0
-349.452546,100,306.763904,0.0,0
-355.572829,100,308.614418,0.0,0
-354.414937,100,310.248833,0.0,0
-355.852933,100,312.012379,0.0,0
-356.348838,100,313.927677,0.0,0
-344.117363,100,315.84432,0.0,0
-340.503965,100,317.66906,0.0,16
-344.45811,100,319.515801,0.0,0
-339.769851,100,321.608248,0.008892219336241673,18
-317.74904,100,323.312861,0.0,0
-318.772465,100,325.030111,0.0,0
-319.293011,100,326.787453,0.0,0
-319.461333,100,328.5872,0.0,0
