x,y,z,h
1.9615705,0,3.3901806,False
1.7539139,0,3.421795,False
1.5557165,0,3.4604902,False
1.370808,0,3.4906144,False
1.1961515,0,3.5176034,False
1.0091717,0,3.5156066,False
0.8128296,0,3.4295971,False
0.60144323,0,3.3279057,False
0.38227993,0,3.2818193,False
0.17900635,0,3.2948549,False
-0.014484471,0,3.2976265,False
-0.13973604,0,3.3068712,False
-0.18514062,0,3.3195074,False
-0.21202716,0,3.3413703,False
-0.24740513,0,3.3649917,False
-0.2918143,0,3.3817406,False
-0.33311734,0,3.399765,False
-0.38115942,0,3.4133966,False
-0.43777788,0,3.4230108,False
-0.47482663,0,3.429323,False
-0.51830524,0,3.413033,False
-0.5317163,0,3.3834214,False
-0.56503826,0,3.3490772,False
-0.59870446,0,3.2990391,False
-0.64857566,0,3.2297726,False
-0.7280659,0,3.1367893,False
-0.84172153,0,3.0268426,False
-0.9956982,0,2.8925533,False
-1.1528697,0,2.7732248,False
-1.2899455,0,2.680325,False
