#{"t_start": 1718314553.0216289, "env_id": "None"}
r,l,t,num_wraps,c
-95.344371,30,0.573597,0.0,0
-96.938966,30,1.049565,0.0,0
-93.720481,30,1.49755,0.0,0
-95.799214,30,2.095766,0.0,0
-90.615529,30,2.784894,0.0,0
-94.683836,30,3.588238,0.0,0
-94.427807,30,4.380219,0.0,0
-91.860687,30,5.228908,0.0,0
-93.413609,30,6.116022,0.0,0
-97.076737,30,7.188433,0.0,0
-96.318367,30,8.18328,0.0,0
-97.378134,30,8.908147,0.0,0
-87.03051,30,9.631169,0.0,0
-91.845366,30,10.404615,0.0,0
-90.143492,30,11.18193,0.0,0
-96.571932,30,12.191366,0.0,0
-95.254622,30,13.172413,0.0,0
-89.073854,30,14.173377,0.0,0
-92.48747,30,15.190549,0.0,0
-91.580176,30,16.247635,0.0,0
-93.745424,30,17.178798,0.0,0
-94.839407,30,18.108727,0.0,0
-92.110164,30,19.019044,0.0,0
-89.516316,30,19.909032,0.0,0
-90.42691,30,21.077757,0.0,0
-98.334514,30,22.288726,0.0,0
-88.352709,30,23.352543,0.0,0
-88.460403,30,24.812337,0.0,0
-93.25068,30,25.915007,0.0,0
-96.21432,30,26.93882,0.0,0
-92.527311,30,27.921096,0.0,0
-86.401358,30,29.154396,0.0,0
-93.500611,30,30.345952,0.0,0
-89.283921,30,31.913866,0.0,0
-93.475586,30,33.443938,0.0,0
-93.943979,30,34.935461,0.0,0
-88.60782,30,36.214117,0.0,0
-95.601877,30,37.567378,0.0,0
-94.486141,30,39.099535,0.0,0
-88.575343,30,40.536315,0.0,0
-91.604269,30,41.964847,0.0,0
-87.133374,30,43.011197,0.0,0
-88.291751,30,44.479466,0.0,0
-91.944021,30,45.740034,0.0,0
-90.739036,30,47.327181,0.0,0
-92.359688,30,48.799822,0.0,0
-93.202183,30,50.096583,0.0,0
-88.024093,30,51.614792,0.0,0
-95.019124,30,53.140562,0.0,0
-86.870196,30,54.78706,0.0,0
-92.825017,30,56.501179,0.0,0
-91.068888,30,58.171756,0.0,0
-86.775962,30,59.748526,0.0,0
-93.100984,30,61.08968,0.0,0
-88.861654,30,62.565656,0.0,0
-88.762511,30,63.949066,0.0,0
-91.516747,30,65.242544,0.0,0
-88.952566,30,66.418968,0.0,0
-88.041945,30,67.788416,0.0,0
-90.553244,30,69.202058,0.0,0
-89.792156,30,70.5137,0.0,0
-92.641117,30,71.597918,0.0,0
-93.068648,30,73.029105,0.0,0
-86.290214,30,74.846894,0.0,0
-88.43673,30,76.220618,0.0,0
-93.053698,30,77.702375,0.0,0
-89.59405,30,78.953222,0.0,0
-88.504435,30,80.261228,0.0,0
-86.647305,30,81.374495,0.0,0
-87.987384,30,82.482581,0.0,0
-90.907188,30,83.892068,0.0,0
-85.808627,30,85.144996,0.0,0
-86.107172,30,86.417437,0.0,0
-87.072584,30,87.699787,0.0,0
-83.571513,30,89.132811,0.21360397386526458,0
-90.634451,30,90.495789,0.0,0
-84.072578,30,91.991318,0.027907158243867074,0
-90.782518,30,93.999666,0.0,0
-88.925544,30,95.460273,0.0,0
-90.896054,30,96.941321,0.0,0
-88.308093,30,98.266857,0.0,0
-86.565226,30,99.85477,0.0,0
-91.998837,30,101.503689,0.0,0
-92.28099,30,103.106886,0.0,0
-86.633007,30,105.392427,0.0,0
-90.581634,30,107.412756,0.0,2
-94.080402,30,108.940541,0.0,0
-89.616806,30,110.558636,0.0,0
-91.944502,30,112.487898,0.0,0
-87.737502,30,115.01858,0.0,0
-87.795798,30,117.147688,0.0,0
-86.040661,30,119.125429,0.0,0
-83.199951,30,121.515603,0.008316830802597706,0
-89.043907,30,123.8673,0.0,2
-90.00242,30,125.800813,0.0,2
-87.121699,30,127.76443,0.0,0
-92.437451,30,130.306769,0.0,0
-85.285688,30,132.281101,0.0,0
-91.516505,30,133.875587,0.0,0
-94.984233,30,136.03882,0.0,0
-84.830787,30,138.13383,0.0,0
-87.224123,30,140.292129,0.0,0
-87.783464,30,142.496356,0.0,0
-92.511759,30,144.602715,0.0,0
-89.263446,30,146.634716,0.0,0
-94.161969,30,148.51495,0.0,0
-84.625912,30,150.798762,0.021270002645564428,0
-93.35761,30,152.929067,0.0,0
-92.282079,30,155.144033,0.0,0
-90.775532,30,157.14081,0.0,0
-88.956767,30,158.960804,0.0,0
-90.151344,30,160.507303,0.0,0
-89.071179,30,162.333025,0.0,0
-79.613568,30,163.956165,0.3655148284240503,0
-94.20441,30,165.720191,0.0,0
-90.082003,30,167.448209,0.0,0
-91.496743,30,169.021498,0.0,0
-88.694068,30,170.672388,0.0,0
-85.861219,30,172.153568,0.0,0
-92.896329,30,173.649575,0.0,0
-87.696291,30,175.184442,0.0,0
-86.928889,30,176.572959,0.0,1
-86.882842,30,177.883784,0.0,0
-91.663119,30,179.023134,0.0,0
-90.453254,30,180.240582,0.0,0
-86.743416,30,181.51211,0.0,0
-88.309018,30,183.00972,0.015157849878023131,4
-93.304417,30,184.425526,0.0,0
-87.004979,30,185.961888,0.0,0
-91.363491,30,187.302942,0.0,0
-87.208669,30,188.82306,0.0,2
-89.409627,30,190.152471,0.0,0
-95.026105,30,191.673438,0.0,0
-92.928769,30,193.011088,0.0,0
-95.673166,30,194.47471,0.0,0
-88.675508,30,195.920602,0.0,0
-89.413076,30,197.173803,0.0,0
-93.173989,30,198.530153,0.0,0
-86.369417,30,199.536169,0.0,0
-89.342706,30,200.747092,0.0,0
-93.717357,30,202.046122,0.0,0
-92.880271,30,203.523494,0.0,0
-88.231857,30,204.916987,0.0,1
-88.851091,30,206.391939,0.0,0
-95.181075,30,207.744827,0.0,0
-86.558967,30,209.134452,0.0,0
-88.302815,30,210.473048,0.0,1
-92.152605,30,211.913178,0.0,0
-94.422046,30,213.315772,0.0,0
-94.247605,30,214.623749,0.0,0
-90.855619,30,216.047546,0.0,0
-86.212468,30,217.369371,0.0,0
-89.134047,30,218.730243,0.0,0
-95.819624,30,220.084762,0.0,0
-91.215189,30,221.435286,0.0,4
-90.631125,30,222.550738,0.0,0
-65.815736,25,223.416707,0.9318625654686332,0
-87.073489,30,224.723186,0.0,1
-83.65861,30,226.239255,0.05122233073370534,0
-87.15262,30,227.636342,0.0,1
-84.338117,30,229.005461,0.0,0
-95.684428,30,230.220479,0.0,0
-88.13875,30,231.53223,0.0,0
-92.452916,30,232.604845,0.0,1
-82.468285,30,233.637956,0.0,0
-83.107077,30,234.868595,0.295312615122411,0
-91.102266,30,243.769299,0.0,0
-85.783325,30,244.859015,0.0037914470222558056,0
-89.990463,30,245.962799,0.0,0
-87.343847,30,247.086209,0.03230396845693942,0
-87.634218,30,248.316226,0.0,0
-84.803098,30,249.506655,0.0,0
-88.32338,30,250.626257,0.0,1
-88.167186,30,251.695709,0.0,1
-86.570645,30,252.771737,0.0,0
-93.648737,30,253.836756,0.0,0
-95.959109,30,254.931907,0.0,0
-87.030996,30,255.992428,0.0,0
-95.158881,30,257.058933,0.0,0
-87.677654,30,258.07686,0.0,0
-85.272414,30,259.131371,0.0,0
-84.704983,30,260.068034,0.0,0
-86.738209,30,261.12351,0.0,0
-88.586428,30,262.15991,0.0,0
-84.767522,30,263.143007,0.0,0
-85.669197,30,264.134056,0.0,0
-87.813335,30,265.112166,0.0,0
-87.255779,30,266.090083,0.0,0
-86.985037,30,267.061711,0.0,0
-80.578789,30,268.011577,0.0,0
-85.989597,30,268.941002,0.0,0
-84.111559,30,269.951487,0.0,0
-85.523988,30,270.899345,0.0,0
-84.857082,30,271.925695,0.0,0
-86.61174,30,272.851492,0.0,0
-88.072672,30,273.817549,0.0,1
-83.088992,30,274.721657,0.0,0
-86.223868,30,275.677107,0.0,0
-89.456549,30,276.65569,0.0,1
-92.642552,30,277.586502,0.0,0
-85.744493,30,278.573702,0.0,0
-87.457348,30,279.532355,0.0,0
-87.156529,30,280.494822,0.0,0
-84.877466,30,281.435503,0.0,0
-86.032273,30,282.500214,0.0,0
-82.150931,30,283.521278,0.0,0
-82.815944,30,284.555922,0.0,0
-87.99076,30,285.589953,0.0,0
-88.630752,30,286.640027,0.0,0
-87.595046,30,287.626207,0.0,0
-90.253702,30,288.702621,0.0,0
-88.004092,30,289.729036,0.0,2
-88.113308,30,290.808865,0.0,0
-86.547261,30,291.881372,0.1302870592268932,0
-85.998252,30,292.973245,0.0,0
-87.312352,30,294.116646,0.0,0
