#{"t_start": 1718326961.742584, "env_id": "None"}
r,l,t,num_wraps,c
-327.832539,100,2.312567,0.0,0
-357.622188,100,4.54136,0.0,0
-356.503249,100,6.728985,0.0,0
-352.785589,100,8.985212,0.0,0
-331.530252,100,11.175212,0.0,0
-372.76949,100,13.730925,0.0,0
-327.594953,100,16.666811,0.0,0
-322.641855,100,19.60232,0.0,0
-347.182983,100,21.984964,0.0,0
-362.846547,100,24.507555,0.0,0
-346.74354,100,27.220701,0.0,0
-335.399581,100,29.707516,0.0,0
-335.293056,100,32.105536,0.0,0
-336.299988,100,34.573078,0.0,1
-350.106102,100,37.276677,0.0,0
-327.552143,100,40.192467,0.0,0
-242.356849,80,42.13824,0.7837941788871896,2
-325.009253,100,45.221684,0.0,0
-349.497044,100,47.73158,0.0,0
-294.311837,100,50.577398,0.4901715306102364,0
-351.38461,100,53.011179,0.0,1
-324.180154,100,55.325818,0.0,1
-356.961091,100,57.652864,0.0,0
-353.679147,100,59.939714,0.0,2
-357.422612,100,62.757981,0.0,0
-324.230585,100,65.086432,0.0,0
-329.757477,100,67.443247,0.0,0
-335.958603,100,69.835366,0.0,2
-317.308396,100,72.19927,0.0,0
-326.015132,100,74.484567,0.0,0
-347.421608,100,76.908222,0.0,0
-362.271762,100,79.108216,0.0,0
-331.111533,100,81.474045,0.0,0
-289.229737,100,84.106827,0.0,0
-319.196047,100,86.515669,0.0,0
-253.765613,100,88.855961,0.2989490385426836,1
-322.120018,100,91.261105,0.0,0
-306.772345,100,93.831171,0.0,1
-320.847117,100,96.333413,0.004802598177826376,7
-323.24385,100,98.704966,0.0,1
-287.076321,100,101.051924,0.0,0
-299.914364,100,103.489321,0.0,0
-313.878096,100,105.813275,0.0,0
-310.281355,100,108.168357,0.0,2
-320.159326,100,110.516147,0.0,0
-312.384843,100,112.943573,0.0,0
-318.395467,100,115.19366,0.0,3
-321.603505,100,117.653945,0.0,1
-328.556386,100,119.997412,0.0,0
-324.347347,100,122.310588,0.0,0
-193.730994,100,139.221425,1.9736905839595842,0
-317.651475,100,141.682262,0.0,0
-285.946142,100,144.371124,0.0,0
-291.05452,100,146.820108,1.029867347094142,1
-319.594349,100,149.180629,0.0,2
-270.435939,100,151.802508,0.35703234323833516,0
-262.68655,100,154.066743,0.0,0
-309.804888,100,156.385565,0.0,0
-312.649088,100,158.855959,0.0,1
-288.128639,100,161.318438,0.0,0
-250.547152,100,163.705562,0.0,0
-311.643544,100,166.172187,0.0,6
-315.322124,100,168.552507,0.0,0
-316.862481,100,170.892407,0.0,0
-303.383273,100,173.357014,0.0,2
-293.117251,100,175.691939,0.0,0
-314.034296,100,178.119659,0.0,0
-305.693801,100,180.80215,0.0,0
-308.861551,100,183.408991,0.0,0
-296.77669,100,185.885545,0.0,0
-300.17331,100,188.3105,0.0,0
-306.145086,100,190.92693,0.0,0
-304.651229,100,193.419295,0.0,0
-301.673674,100,195.840476,0.0,0
-328.010546,100,198.309689,0.0,0
-315.260625,100,200.746967,0.0,0
-259.909628,100,203.263456,0.0,0
-215.253567,100,205.666594,0.0,0
-305.11865,100,208.129373,0.0,0
-296.72571,100,210.540422,0.0,0
-240.313533,100,212.992812,0.0,0
-309.19264,100,215.390993,0.0,0
-303.424693,100,217.911932,0.0,0
-288.126646,100,220.346562,0.0,0
-305.043858,100,222.872016,0.0,0
-303.198913,100,225.30033,0.0,0
-301.003903,100,227.752371,0.0,0
-305.018287,100,230.284349,0.0,0
-315.590919,100,232.691847,0.0,0
-163.394783,100,235.441683,0.9093292575253579,0
-97.894541,73,237.455465,0.9673017630652323,0
-295.586427,100,239.832727,0.0,0
-273.443872,100,242.494653,0.49333963348952714,0
-153.967016,100,245.453014,0.9020312491330552,0
-154.020596,100,248.140508,0.8776621238157549,0
-305.060697,100,250.614474,0.0,0
-62.663186,41,251.726561,0.9884122666132099,0
-107.89214,74,253.959919,0.9249392204035994,0
-315.70154,100,256.508744,0.0,0
-310.634785,100,258.883121,0.0,0
-88.159369,59,260.459975,0.9092952243642941,0
-58.6008,37,261.478568,0.9135445568605841,0
-316.601516,100,277.948254,0.0,0
-265.480517,100,280.622363,0.39029460545243233,0
-79.980241,49,281.95032,0.9006077743661142,0
-88.733823,56,283.516718,0.8920442013090962,0
-285.235316,100,286.398888,0.29857386292401944,0
-314.574525,100,288.874788,0.0,0
-77.486421,47,290.127245,0.8761448239413689,0
-304.185628,100,292.638524,0.0,0
-282.683671,100,295.219544,0.1304515906475123,0
-51.57321,32,296.085544,0.9910324048404697,0
-285.466358,100,298.596884,0.120214292138994,0
-315.761893,100,301.029409,0.0,0
-110.784658,71,303.100624,0.81950274119903,0
-289.996156,100,305.671435,0.1524913740422505,0
-70.505749,47,306.913785,0.9009667395570817,0
-75.786514,48,308.246436,0.8804098675704528,0
-56.687211,35,309.151671,1.0938210004656648,0
-309.910649,100,311.511018,0.0,0
-312.208786,100,313.963631,0.0,0
-314.163776,100,316.439399,0.0,0
-54.653375,33,317.29435,1.0446699476336994,1
-81.847026,51,318.791093,0.8856997470939844,0
-272.863288,100,321.359055,0.267470083257854,0
-287.528505,100,323.853039,0.024369664655183337,0
-288.793316,100,326.475309,0.07301625496121791,0
-289.813705,100,328.907638,0.0,0
-307.409692,100,331.327929,0.0,0
-287.449923,100,333.829671,0.14852116349144712,0
-295.807401,100,336.320203,0.0,0
-312.245206,100,338.696622,0.0,0
-59.613904,36,339.638354,0.9058671078742316,0
-61.003777,39,340.71918,0.9285814351161932,0
-70.189354,41,341.823378,0.9548245260745432,0
-66.232838,38,342.877184,0.9586750525559746,2
-61.028037,36,343.902738,1.0276737263496292,0
-81.212755,45,345.127824,0.8832167203208267,0
-287.37249,100,347.671822,0.021355152553768984,0
-287.766009,100,350.325369,0.06399744245321684,0
-288.400472,100,352.811194,0.08282336042628151,0
-313.048366,100,355.169777,0.0,0
-90.788373,53,356.725256,0.9234397036947527,0
-65.104886,39,357.774487,0.9212010387002767,0
-285.930981,100,360.275631,0.0,0
-77.121651,41,361.367626,0.9064977881409113,0
-65.09042,34,362.281336,0.8795252192181421,1
-310.886083,100,364.654806,0.0,0
-288.045945,100,367.170353,0.040089916252141145,0
-48.623311,21,367.674264,1.5525155121105336,0
-287.237147,100,370.255516,0.17152604769564955,0
-287.516923,100,372.802638,0.09617677767667882,0
-97.187122,45,373.966698,0.7504569355998879,0
-109.145867,49,375.180894,1.1019514422715193,0
-52.520718,28,375.975086,1.0513384034161055,0
-53.387152,27,376.740074,0.8949950550935222,1
-70.047263,35,377.664786,0.8566425821450465,0
-54.741539,29,378.457682,0.9329830213946494,1
-91.353929,40,379.632596,0.7502952528877083,0
-288.282272,100,382.142923,0.2337262576378952,0
-251.677501,100,384.607589,0.0,0
-288.74478,100,387.157851,0.009007976309828974,0
-290.09164,100,389.611427,0.04085013807860203,0
-231.035804,100,391.911638,1.787011190938866,0
-281.654329,100,394.367026,0.021697896804820725,0
-308.03955,100,396.852378,0.0,0
-286.95958,100,399.262995,0.1005084082762595,0
-296.024385,100,401.750826,0.0,0
-293.780651,100,419.010543,0.0,0
-302.620772,100,421.569392,0.0,1
-61.577555,31,422.405864,0.8426910774454808,1
-301.91431,100,424.812669,0.0,0
-295.140562,100,427.12611,0.0,0
-51.812394,25,427.832993,0.9000200156665555,0
-281.709718,100,430.323284,0.0,0
-60.837692,26,431.031279,1.0438827654748,0
-52.913116,27,431.701596,1.0233737788700261,0
-286.03946,100,434.247827,0.03409675349857962,0
-62.178902,30,435.05341,0.8380124367514786,0
-53.875475,27,435.761758,0.9573526870038949,0
-49.771636,26,436.575182,0.9306725524740473,0
-288.88384,100,439.225868,0.09590296847969147,0
-311.310255,100,441.645126,0.0,0
-285.586918,100,444.160433,0.1020726460650128,0
-48.784306,26,444.849212,0.9921317705305485,0
-287.161544,100,447.418965,0.026694012812789256,0
-287.828377,100,449.816099,0.08094358538613725,0
-279.931095,100,452.415798,0.1990872737354704,0
-56.983546,28,453.215199,0.876712768164349,0
