#{"t_start": 1718320620.5720901, "env_id": "None"}
r,l,t,num_wraps,c
-328.903186,100,3.093096,0.0,0
-355.254735,100,6.235409,0.0,0
-361.847308,100,9.259286,0.0,0
-351.306356,100,12.178036,0.0,0
-335.845514,100,14.680769,0.08456886300221103,2
-369.076231,100,17.044293,0.0,0
-313.931962,100,19.336637,0.0,1
-334.872724,100,21.646583,0.0,0
-352.227788,100,24.078016,0.0,0
-342.201145,100,26.622567,0.0,0
-309.458729,100,29.275748,0.0,2
-334.943035,100,32.09205,0.0,0
-332.968749,100,34.739314,0.0,0
-343.822701,100,37.225159,0.0,0
-350.160717,100,40.016211,0.0,0
-329.376242,100,42.587134,0.0,1
-342.576571,100,45.212711,0.0,1
-359.342296,100,47.788807,0.0,0
-350.151631,100,50.379325,0.0,2
-342.782332,100,53.093691,0.0,0
-329.857338,100,55.770834,0.0,0
-335.123638,100,58.418197,0.0,0
-339.045557,100,60.957042,0.0,0
-344.151199,100,63.681616,0.0,0
-357.382366,100,66.461049,0.0,2
-297.371327,100,69.251211,0.9595336545049502,0
-323.689675,100,71.868082,0.0,0
-345.908491,100,74.566277,0.0,1
-325.217775,100,77.310895,0.0,0
-340.788676,100,79.978789,0.0,0
-322.395097,100,82.847212,0.0,1
-339.271598,100,85.582224,0.0,0
-330.531006,100,88.25974,0.0,1
-317.95624,100,90.943709,0.22043526233977712,1
-320.211661,100,93.614979,0.5191792892364078,0
-293.80011,100,96.510542,0.0,0
-324.991112,100,99.374884,0.0,0
-326.133607,100,102.339412,0.0,1
-325.2389,100,105.211763,0.0,1
-323.243363,100,108.056696,0.0,0
-318.146709,100,110.905347,0.0,0
-297.1056,100,114.076795,0.0,0
-306.799834,100,116.911426,0.5125674900723992,0
-317.057217,100,119.760305,0.0,0
-292.7247,100,122.809452,0.0,0
-328.527243,100,125.921463,0.0,0
-290.306041,100,129.212391,0.0,0
-193.814979,70,131.324032,0.8348057737134165,1
-321.945373,100,134.17394,0.0,0
-191.760786,75,136.34059,0.9850778178635551,2
-313.716173,100,160.633402,0.0,0
-323.911569,100,164.558073,0.0,1
-319.203184,100,169.123928,0.0,0
-310.878883,100,172.805836,0.0,2
-39.038117,17,173.368222,0.9679445504410165,0
-171.488887,62,175.324489,0.8484053025426224,0
-326.880281,100,178.375547,0.0,0
-52.59009,22,179.07882,0.7504328427638858,0
-330.588896,100,182.243324,0.0,0
-318.123661,100,185.717557,0.0,1
-330.833912,100,189.317289,0.0,0
-322.570963,100,192.490895,0.0,0
-326.751166,100,195.533481,0.0,0
-39.605089,19,196.109896,0.8799811242471535,0
-219.258587,87,199.189558,0.9125620565626016,1
-325.217769,100,203.110028,0.0,0
-314.227195,100,208.343438,0.0,0
-313.295465,100,212.544629,0.0,0
-311.978568,100,216.568274,0.0,0
-304.420725,100,220.418211,0.0,2
-283.008285,100,224.135785,0.12164247806841565,0
-304.838271,100,227.994994,0.0,0
-312.780412,100,231.800528,0.0,0
-312.304614,100,236.006857,0.0,0
-318.5792,100,239.889412,0.0,0
-47.58391,20,240.754562,1.0178143742555004,0
-316.173723,100,244.607635,0.0,0
-318.987654,100,248.183261,0.0,0
-312.810404,100,252.13129,0.0,0
-311.926118,100,255.496088,0.0,0
-310.308631,100,258.632204,0.0,0
-304.858026,100,261.764668,0.0,0
-310.254584,100,264.972718,0.0,0
-313.965838,100,268.291238,0.0,2
-316.298532,100,271.341291,0.0,0
-311.239626,100,274.293417,0.0,0
-45.801196,23,275.022123,0.9192553470450486,0
-313.784331,100,277.865656,0.0,0
-305.893728,100,280.739871,0.0,0
-306.870451,100,283.677147,0.0,0
-310.968454,100,286.957481,0.0,0
-282.812766,100,290.5987,0.567741288489857,0
-306.930141,100,294.055507,0.0,0
-44.516549,21,294.846366,0.97895970108534,0
-310.286731,100,298.179204,0.0,0
-306.344379,100,301.176767,0.0,0
-308.201989,100,304.144025,0.0,0
-296.263164,100,307.066952,0.0,0
-308.900344,100,310.12865,0.0,0
-299.463803,100,313.1058,0.0,0
-305.469158,100,316.04581,0.0,0
-312.037355,100,319.18032,0.0,0
-39.862742,19,319.900031,0.9779230807775722,0
-311.356493,100,322.85176,0.0,0
-310.611439,100,325.809789,0.0,0
-43.745251,20,326.470789,0.8782557262259119,0
-50.960841,26,327.28577,0.9279924476131097,0
-301.022741,100,330.231351,0.0,0
-141.952912,57,351.560086,2.141964617225969,20
-307.080681,100,354.743152,0.0,0
-301.452001,100,358.012161,0.0,0
-307.948451,100,361.024092,0.004098932005695007,0
-47.458595,21,361.663712,0.9095789788245394,0
-294.325941,100,364.457332,0.0,0
-304.158217,100,367.37262,0.03764901317190983,0
-299.51569,100,370.164901,0.18889704019762543,0
-43.448211,19,370.746333,0.7666056106591701,0
-305.915973,100,373.58917,0.0,0
-286.087435,100,376.479183,0.0,0
-295.889264,100,379.376755,0.15430099100988648,0
-43.242742,20,379.946228,0.8260946746165699,0
-43.56923,20,380.556297,0.7907888224735634,0
-293.336312,100,383.519836,0.08380141297458989,0
-43.720743,21,384.175518,0.8676116137125857,0
-301.778417,100,387.122944,0.0,0
-166.600764,65,388.969056,1.1264208845744834,2
-38.94008,22,389.620217,1.074912548618602,0
-306.541642,100,392.602893,0.0,0
-53.743167,28,393.487655,0.8356819945523783,0
-304.407855,100,396.423584,0.0,0
-295.632918,100,399.494899,0.0,0
-290.64659,100,402.297758,0.0,0
-298.082304,100,405.106108,0.22673965500981083,0
-296.234301,100,408.0454,0.15215716890908354,0
-304.158041,100,411.007334,0.0,3
-311.732735,100,413.848783,0.0,0
-214.199856,83,416.272867,1.0377111608080287,0
-306.728775,100,419.142062,0.0,0
-309.847445,100,421.944594,0.0,0
-289.566712,100,424.946819,0.08994434432400279,0
-295.745656,100,427.921324,0.1553658616574359,0
-310.112961,100,430.796264,0.0,0
-56.76985,29,431.639205,0.7721114805388427,0
-50.634201,24,432.370229,0.8416889588342612,0
-316.681776,100,435.307821,0.0,0
-52.829997,26,436.166693,0.7504971749116907,0
-283.953816,100,439.407381,0.2288907564172582,0
-298.649522,100,442.446147,0.0,0
-45.276632,24,443.181084,0.970524463453782,0
-49.309477,26,443.949661,0.8501099615154052,0
-44.473687,23,444.612422,0.7737244538116618,0
-299.070599,100,447.761065,0.03215044152517893,0
-305.650398,100,450.913324,0.0,0
-299.606332,100,453.959071,0.0,0
-305.440178,100,457.081222,0.04252508176944162,0
-184.850327,76,459.363902,1.0383957040849618,0
