#{"t_start": 1718188227.2833312, "env_id": "None"}
r,l,t,num_wraps,c
-339.271999,100,3.094449,0.0,2
-356.006321,100,6.224584,0.0,0
-359.068499,100,8.874251,0.0,0
-366.185406,100,11.871101,0.0,0
-365.730117,100,14.75603,0.0,0
-372.112316,100,18.138757,0.0,0
-356.51561,100,21.927124,0.0,0
-357.166572,100,24.991944,0.0,0
-355.747364,100,28.817711,0.0,0
-333.135962,100,32.180418,0.0,0
-337.944618,100,36.09461,0.0,0
-342.348207,100,40.705092,0.0,0
-327.035734,100,44.000789,0.0,0
-349.776699,100,47.739352,0.0,0
-355.770192,100,53.826812,0.0,0
-339.64434,100,58.328799,0.0,0
-365.461402,100,63.23708,0.0,0
-338.095158,100,68.272444,0.0,0
-357.303697,100,72.57759,0.0,0
-339.098484,100,77.009054,0.0,0
-329.699846,100,81.07003,0.0,0
-327.790845,100,85.032645,0.0,0
-340.646346,100,88.077034,0.0,0
-336.691947,100,91.059802,0.0,0
-344.823589,100,94.114618,0.0,0
-334.050908,100,97.14253,0.0,0
-322.853226,100,100.116867,0.0,0
-330.217313,100,103.619943,0.0,4
-321.232253,100,106.858365,0.0,0
-333.030857,100,109.521213,0.0,2
-148.814348,47,110.905409,0.9100978843239188,0
-263.082349,84,113.297472,0.9021234451360626,0
-341.849739,100,116.236461,0.09237229528189117,2
-326.104253,100,119.277659,0.0,0
-331.456238,100,122.256375,0.0,2
-320.791234,100,125.137361,0.0,1
-326.737949,100,128.008699,0.0,0
-325.047955,100,131.008087,0.0,1
-320.210422,100,133.944291,0.0,0
-175.627091,61,135.88465,0.9007686343957048,0
-126.577005,44,137.281122,0.9016456565714726,0
-310.866596,100,140.39278,0.5237870725090823,0
-302.163436,100,143.512476,0.6543933890620962,0
-320.464834,100,146.423887,0.0,0
-320.268341,100,149.400863,0.0,0
-322.620714,100,152.605441,0.0,0
-326.771645,100,155.564422,0.0,0
-327.068723,100,158.534584,0.0,0
-320.650677,100,161.372364,0.0,0
-318.153107,100,164.275723,0.0,1
-328.506791,100,167.202134,0.0,0
-315.683025,100,189.268053,0.0,0
-299.884715,100,192.311225,0.0,0
-49.079011,18,192.990572,0.902695621425239,0
-316.275051,100,196.317813,0.0,0
-316.881984,100,199.284724,0.0,0
-316.717471,100,202.177618,0.0,0
-316.705853,100,205.073561,0.0,0
-136.310536,47,206.458908,0.9118217694328056,0
-312.191534,100,209.317717,0.0,0
-296.024212,100,212.78328,0.44002486754064396,1
-312.995661,100,215.637173,0.0,0
-319.473569,100,218.435248,0.0,0
-314.542222,100,221.275836,0.0,0
-291.0085,93,223.912367,0.9289394283082918,0
-314.433043,100,226.833028,0.0,1
-127.78979,43,228.066071,0.9038560314119396,0
-315.328621,100,231.012076,0.0,0
-312.083154,100,233.859293,0.0,0
-320.351791,100,236.695708,0.0,0
-314.274786,100,239.527883,0.0,0
-314.806032,100,242.377284,0.0,0
-308.595546,100,245.265918,0.0,0
-316.739457,100,248.301681,0.0,0
-318.981409,100,251.208824,0.0,0
-33.417,13,251.591622,0.9056315977305373,0
-305.166936,100,254.422594,0.0,0
-69.721562,28,255.241298,0.900279284193079,0
-323.836929,100,258.135942,0.0,2
-315.211997,100,261.093209,0.0,0
-246.465626,81,263.524189,0.9051898930979365,0
-331.241856,100,266.243514,0.0,2
-310.601024,100,269.14279,0.0,0
-313.95562,100,272.175253,0.0,1
-310.081939,100,275.251532,0.0,0
-303.018988,100,278.288597,0.0,0
-318.62686,100,281.53791,0.0,2
-325.725998,100,284.786135,0.0,1
-36.368624,14,285.291222,0.903630057956497,0
-302.098817,100,289.088273,0.7303527345600216,0
-262.337188,87,291.940831,0.907374528069935,0
-323.955786,100,295.10968,0.0,1
-319.206302,100,298.139988,0.0,0
-310.875857,100,301.259978,0.0,0
-62.119498,25,302.159947,0.9003202665328164,0
-318.091893,100,305.33259,0.0,0
-309.229108,100,308.542016,0.10843537308899862,4
-40.297159,15,309.011204,0.9008835173395195,0
-317.124888,100,312.072146,0.0,0
-320.420131,100,315.260417,0.0,1
-310.824738,100,318.682512,0.13625065992222435,3
-316.316134,100,322.014773,0.23262267257371544,0
-315.637056,100,325.230083,0.2537718228721748,0
-311.400808,100,328.400748,0.5767334132470738,3
-301.242044,100,331.535179,0.18120825439994503,0
-318.779393,100,334.602505,0.0,0
-310.356221,100,337.959001,0.0,0
-314.175018,100,341.241779,0.11870951816332845,0
-313.658728,100,365.893852,0.10568565651995408,0
-313.743394,100,369.32697,0.2772146406826007,0
-309.970468,100,372.122454,0.0,0
-308.177758,100,374.829528,0.0,0
-307.053653,100,377.467553,0.06537301733419418,2
-299.58326,100,380.25168,0.10626850712613757,0
-299.712935,100,383.056264,0.0,0
-313.634313,100,385.771217,0.0,2
-308.921971,100,388.462937,0.05619248320485109,2
-305.118122,100,391.060595,0.0,0
-42.185873,16,391.502163,0.9001045787171735,0
-299.727532,100,394.332151,0.04944763691833243,0
-303.929487,100,397.082811,0.11356199844828722,1
-300.81547,100,399.885567,0.0,3
-307.738255,100,402.673221,0.0,0
-297.830954,100,405.322922,0.11294348792046789,0
-296.389152,100,408.114185,0.34563977976277094,0
-318.753136,100,410.768842,0.0,0
-293.634709,100,413.705795,0.0,0
-310.854157,100,416.369548,0.0,0
-308.428284,100,419.133465,0.0,0
-305.310359,100,421.861495,0.0094859460057094,0
-308.705937,100,424.578259,0.0,0
-294.074569,100,427.306156,0.18683677656243883,0
-302.994768,100,430.10294,0.48615759673431536,0
-294.939821,100,432.946789,0.0,0
-294.152048,100,435.728973,0.6003268176581669,0
-301.481689,100,438.504911,0.008962437972703161,0
-312.951321,100,441.175995,0.0,0
-300.569518,100,444.056283,0.014694997722431002,0
-304.199915,100,447.082291,0.011950223999282824,0
-54.815595,21,447.672449,0.9030067915104433,0
-295.173454,100,450.569019,0.05397732738046167,0
-296.588944,100,453.177814,0.20822183601715577,0
-285.641783,100,455.942799,0.49638713906860193,0
-37.587901,14,456.311905,0.9086925395514602,0
-166.92635,58,457.888737,1.1096281026437598,0
-215.576041,72,459.854928,0.9002959835634206,0
-295.212171,100,462.681774,0.0,0
-303.177291,100,465.391108,0.0,0
-37.942011,16,465.829587,0.9013305339531743,0
-35.264987,13,466.202433,0.9010850036963766,0
-282.752432,100,468.97733,0.38897682643605336,0
-237.856251,82,471.390468,0.9022558215251474,0
-303.298801,100,474.166877,0.0021767809005648294,0
-284.949725,100,477.026527,0.0,0
-306.731417,100,479.723558,0.0,0
-311.732586,100,482.408207,0.038811034055691036,5
-46.169263,20,482.933585,0.9002613550313122,0
-302.948316,100,485.582525,0.03397471931527604,1
-40.161146,15,485.962491,0.9044122684226208,0
-43.471786,16,486.395641,0.9172025558412873,0
-189.822482,65,488.169198,0.9052622845662744,1
-308.921662,100,490.851223,0.0,1
-303.612542,100,493.480583,0.0,1
-310.931681,100,496.345639,0.0,1
-41.57643,16,496.776694,0.9010662638423076,0
-287.287852,95,499.436363,0.9020067523512867,0
-266.827507,100,520.374811,0.762021235412142,0
-155.496709,54,522.052222,0.9246585531243507,0
-36.868323,14,522.51043,0.9023338517913323,0
-238.807695,100,526.455925,0.6097750009612016,0
-292.548112,98,529.257585,0.9008848548141065,1
-34.026037,13,529.594157,0.905620312629471,0
-304.224379,100,532.17969,0.0,0
-49.029944,19,532.690301,0.9017565216487433,0
-299.804519,100,535.544027,0.0,0
-302.365706,100,538.267996,0.0,0
-300.033956,100,540.920582,0.0,0
-305.119459,100,543.598741,0.0,0
-282.224651,100,546.454374,0.0,0
-242.84858,100,549.76068,0.6887205270591467,0
-73.756567,34,550.892874,0.9000132546215899,0
-308.385635,100,553.90235,0.0,0
-40.158847,15,554.442524,0.9054413578905149,0
-44.65446,19,554.997335,0.9014434285661355,0
-276.200974,94,557.721021,0.9009180351827079,0
-306.057656,100,560.391681,0.0,0
-306.900681,100,563.014074,0.0,1
-297.094381,100,565.599271,0.0,2
-287.136411,100,568.494961,0.33581139300708984,0
-298.020492,100,571.198973,0.0,0
-245.290578,100,574.203703,0.7018663845991341,0
-301.930881,100,576.872284,0.030547070674166073,1
-44.602083,17,577.284954,0.9081273877189031,0
-302.866692,100,579.997489,0.0,0
-307.542906,100,582.673153,0.0,0
-123.060215,43,583.838681,0.9003559709830772,0
-39.915939,15,584.246905,0.9028041016042982,0
-310.266143,100,586.935623,0.0,1
-304.816487,100,589.625424,0.0,0
-44.590007,17,590.061738,0.9042168480272232,0
-39.838046,15,590.432168,0.9032588207627532,0
-306.191497,100,593.149106,0.0,2
-305.677189,100,595.828975,0.3199523415725119,1
-279.460646,100,598.618028,0.3456291005332584,0
-277.726456,91,601.066285,0.9096777401800303,1
-304.616129,100,603.767322,0.19393280542379693,0
-308.947563,100,606.463164,0.0,0
-292.360301,100,609.301584,0.0,0
-43.149731,16,609.715752,0.9003614461405725,0
-297.458079,100,612.506602,0.1514702464538642,0
-304.102174,100,615.136108,0.0,0
-286.161046,100,618.009507,0.3280163722936055,0
-147.250588,53,619.441778,0.903180179830143,0
-293.858239,100,622.326066,0.15977253789128218,0
-299.546424,100,625.072957,0.10589629644529559,0
-306.884565,100,627.693302,0.0,0
-293.332428,100,630.377604,0.0,0
-40.269554,15,630.754102,0.9089935804501253,0
-305.660889,100,633.398301,0.0,1
-33.85334,13,633.728176,0.9043463869814224,0
-41.58459,16,634.139988,0.9050968330804194,0
-297.745594,100,636.935766,0.0,0
-270.237858,100,639.735951,0.584219767134864,0
-304.969696,100,642.419791,0.0,1
-298.755878,100,645.079152,0.02442827852951572,1
-269.651668,100,647.950629,0.6106722716808366,0
-308.0687,100,650.661498,0.0,3
-303.804447,100,653.469853,0.0,0
-43.971469,19,654.026022,0.9021620415893075,0
-301.696061,100,656.721902,0.0,1
-51.944081,21,657.330849,0.90070462548354,0
-58.979164,25,658.085808,0.9011010410171277,0
-302.396577,100,678.857861,0.0,0
-300.029878,100,682.005537,0.0,0
-64.636998,27,682.93238,0.9013092834299935,0
-283.264838,100,685.831495,0.0,0
-242.541361,100,688.939767,0.5288485182148964,0
-307.566537,100,691.558502,0.17389744228982845,2
-37.443983,14,691.920854,0.9037836782272746,0
-306.618773,100,694.534976,0.0,0
-301.343914,100,697.286993,0.012576475949687168,0
-303.192766,100,699.948455,0.0,0
-41.991363,16,700.354765,0.9059098887252348,0
-300.323174,100,703.0393,0.13961299306324887,0
-294.242789,100,705.77247,0.0,0
-297.026699,100,708.624039,0.0676878849820334,0
-40.184101,15,709.025104,0.902113366937545,0
-296.62601,100,711.903577,0.0,0
-48.589647,20,712.518546,0.9011003024911783,0
-303.545833,100,715.373456,0.0,0
-304.443507,100,718.288425,0.0,0
-290.13101,100,721.16167,0.13323222586963274,0
-304.310067,100,723.895405,0.0,0
-289.889455,100,726.841121,0.0,0
-41.768614,16,727.272561,0.9034643097341359,0
-42.684827,18,727.827075,0.9000533720673877,0
-239.076245,82,730.375144,0.9056796004399499,0
-300.590518,100,733.516182,0.0,1
-302.710646,100,736.366881,0.0,0
-289.355947,100,739.323517,0.0,0
-305.37899,100,742.160243,0.0,0
-41.94144,16,742.614662,0.9030821662636678,0
-291.451093,100,745.60317,0.0,0
-303.387401,100,748.431887,0.0,0
-292.088488,100,751.545262,0.0,0
-306.117411,100,754.423908,0.0,0
-126.010422,46,755.791921,0.9067673242371748,0
-44.984931,17,756.251498,0.9015837830280675,0
-296.81628,100,759.077534,0.0,0
-300.120826,100,762.088948,0.0,0
-64.527519,23,762.760883,0.9055321948315721,0
-307.978984,100,765.63307,0.0,0
-40.306976,15,766.063753,0.9030958218360755,0
-131.663031,49,767.553287,0.9042312503956847,0
-301.095935,100,770.426768,0.0,0
-36.872708,14,770.848319,0.9054890346860432,0
-304.241547,100,773.742725,0.0,0
-304.309926,100,776.627767,0.0,0
-72.603994,30,777.533095,0.9007725907775673,0
-110.997962,52,779.193204,0.9000077831551918,0
-35.04031,13,779.557688,0.9040172679591966,0
-307.552421,100,782.421446,0.0,0
-306.006276,100,785.25622,0.0,0
-59.939447,28,786.190847,0.9010474280574581,0
-305.557252,100,789.077714,0.0,1
-302.52218,100,791.947966,0.0,0
-36.657469,14,792.341292,0.9074114555089487,0
-289.393101,100,795.245209,0.0,0
-303.964857,100,797.996399,0.0,0
-304.810611,100,800.851569,0.0,1
-305.325732,100,803.910508,0.0,0
-300.363873,100,806.853912,0.0,0
-302.912931,100,809.645838,0.0,0
-303.932997,100,812.542302,0.0,0
-56.201258,25,813.316967,0.900358196716753,0
-303.317677,100,816.088236,0.029975343245657267,0
-299.292401,100,819.052939,0.0,0
-296.869894,100,843.052108,0.0,0
-303.845974,100,846.139149,0.0,0
-55.188686,23,847.022577,0.9007112840858452,0
-293.317625,100,850.303563,0.0,0
-302.226891,100,853.198329,0.0,0
-306.975287,100,855.991778,0.0,0
-306.879587,100,858.890726,0.0,0
-305.92774,100,861.707021,0.0,0
-80.072917,36,862.936153,0.9024166019376134,0
-304.192165,100,865.760053,0.0,0
-45.207711,17,866.273501,0.900609369272066,0
-302.169184,100,869.172921,0.0,0
-300.455227,100,872.011989,0.0,0
-306.89898,100,874.823877,0.0,0
-304.039514,100,877.700138,0.0,0
-186.74665,66,879.639801,0.9068273532031234,0
-304.613919,100,882.575537,0.0,0
-306.640025,100,885.483345,0.0,0
-305.375458,100,888.299781,0.0,0
-300.834088,100,891.127918,0.0,0
-279.003663,93,893.844268,0.98058837265665,0
-304.061765,100,896.660105,0.0,0
-168.755346,59,898.361535,0.9021917270207458,0
-224.179018,77,900.546079,0.9098248281579597,0
-189.385851,66,902.430709,0.9042184659415445,0
-303.617935,100,905.181876,0.15939302900061678,0
-142.915862,51,906.589894,0.900558859481238,0
-90.295184,33,907.506231,0.9004045267696887,0
-109.882311,41,908.681066,0.9003740210100203,0
-39.816758,15,909.079591,0.9025426211203863,0
-298.886819,100,911.746305,0.7802047662579576,0
-295.534492,100,914.402357,0.0,0
-284.595191,100,917.285268,0.0,0
-303.941614,100,920.105695,0.01882714547666899,0
-305.103029,100,922.747561,0.0,0
-253.029752,100,925.741475,0.7467873784353698,0
-300.453605,100,928.370208,0.0,0
-306.423212,100,931.092537,0.0,0
-299.064355,100,933.960559,0.0,0
-302.717085,100,936.65356,0.0,0
-305.909628,100,939.235808,0.0,0
-41.462476,16,939.631408,0.9063447817113635,0
-195.460529,69,941.513584,0.9023941438144958,0
-307.591896,100,944.412815,0.0,0
-311.052895,100,947.204151,0.0,0
-304.476449,100,949.918857,0.0,0
-256.667874,100,952.854592,0.6375868505045886,0
-301.860272,100,955.737679,0.0,0
-306.008275,100,958.477526,0.0,0
-140.529958,49,959.843764,0.9432902147697668,0
-301.369796,100,962.535071,0.0,0
-300.729776,100,965.327753,0.0,0
-302.771774,100,968.011335,0.0,0
-305.550078,100,970.681846,0.0,0
-308.016621,100,973.284603,0.0,0
-41.262547,15,973.696463,0.9035908320286081,0
-304.518874,100,976.292357,0.0,0
-302.141586,100,978.980345,0.0,0
-306.560683,100,981.568567,0.0,1
-45.45779,17,982.036683,0.9078822176865846,0
-170.216697,60,1002.157282,0.9136902414613242,0
-276.184983,100,1005.00566,0.5230030193556067,1
-301.851734,100,1008.034873,0.0,0
-173.733743,63,1009.910211,0.928540043890144,2
-284.374798,100,1012.485538,0.7402273261088651,0
-87.945054,33,1013.315204,0.9053126976362369,0
-308.958346,100,1015.989782,0.0,0
-36.319702,14,1016.359103,0.9043983427945491,0
-290.986466,100,1019.028804,0.0,0
-37.411401,14,1019.441435,0.9046555523098649,0
-40.076466,15,1019.834539,0.9042747315070135,0
-289.186588,100,1022.622381,0.0,0
-298.678661,100,1025.403325,0.0,0
-300.794243,100,1028.078288,0.0,0
-305.439792,100,1030.79386,0.0,0
-40.071549,15,1031.149488,0.9071660500928967,0
-284.469392,100,1033.949792,0.7645657530844008,0
-302.903517,100,1036.620107,0.0,0
-302.496203,100,1039.466875,0.0,0
-303.280741,100,1042.238911,0.0,0
-312.282633,100,1044.847843,0.0,0
-301.810504,100,1047.457615,0.20375310535830324,0
-142.464424,51,1048.84625,0.9042877139924972,0
-305.209451,100,1051.579856,0.0,0
-243.733021,100,1054.887709,0.5509473278722735,0
-54.511048,24,1055.624938,0.9000612394067367,0
-141.366206,55,1057.215089,0.9001121105443398,0
-268.686878,100,1060.091365,0.6453083260093171,0
-298.051965,100,1062.869924,0.0,0
-295.659193,100,1065.54319,0.0,1
-47.828783,18,1066.015921,0.9006223777343484,0
-287.126813,100,1068.678217,0.17091842754484166,0
-302.933413,100,1071.457347,0.0,0
-37.830927,15,1071.880836,0.9029256210473404,0
-224.973529,78,1074.044846,0.9006666925509529,0
-305.108277,100,1076.716972,0.0,0
-306.082763,100,1079.293055,0.0,0
-58.810221,21,1079.868413,0.9580811460066291,0
-303.76447,100,1082.48468,0.0,0
-108.400174,39,1083.581473,0.9006683251641496,0
-306.126782,100,1086.211277,0.0,0
-278.334936,92,1088.800822,0.9502849838379999,0
-56.68883,21,1089.421798,0.9018784303969645,0
-300.738977,100,1092.147755,0.0,0
-288.057936,100,1094.916364,0.27657818020505487,0
-298.251826,100,1097.62072,0.0,0
-306.867421,100,1100.503487,0.0,0
-299.110568,100,1103.334748,0.0,0
-298.118807,100,1106.040246,0.0,0
-298.750517,100,1108.697894,0.0,0
-303.809997,100,1111.27979,0.0,0
-300.423238,100,1113.940949,0.0,0
-127.977806,46,1115.178506,0.9015239575249985,0
-304.402247,100,1117.86664,0.0,0
-127.373371,45,1119.108323,0.9016823131996332,0
