#{"t_start": 1718180048.745562, "env_id": "None"}
r,l,t,num_wraps,c
-329.215454,100,3.960647,0.0,0
-354.478018,100,7.835612,0.0,0
-361.236487,100,11.924965,0.0,0
-351.03607,100,16.386477,0.0,0
-335.405618,100,20.749836,0.0,1
-370.063617,100,25.714156,0.0,0
-327.076188,100,30.393414,0.0,1
-330.349841,100,34.839195,0.0,0
-351.951989,100,39.351927,0.0,0
-339.241269,100,44.185117,0.0,0
-308.841432,100,49.317325,0.0,0
-308.314396,95,54.40475,0.900460535699207,1
-338.187387,100,60.793447,0.0,0
-348.538669,100,67.293244,0.0,0
-342.790363,100,72.993555,0.0,0
-323.301598,100,78.204332,0.0,1
-350.565027,100,82.690368,0.0,0
-342.498868,100,87.01397,0.0,0
-348.693129,100,91.137451,0.0,0
-337.215329,100,95.196286,0.0,0
-324.354045,100,99.214311,0.0,0
-322.179546,100,103.395762,0.0,0
-357.555589,100,107.881136,0.0,0
-352.455012,100,112.187412,0.0,0
-356.630396,100,116.358263,0.0,0
-337.752141,100,120.171809,0.16760609529716938,3
-362.720335,100,124.089041,0.0,0
-353.532679,100,128.233594,0.0,0
-336.069302,100,131.91535,0.0,0
-343.790913,100,135.466765,0.0,0
-311.378513,100,139.112447,0.0,0
-357.334444,100,143.394551,0.0,0
-323.705887,100,147.19837,0.0,0
-347.149058,100,151.490348,0.0,0
-346.319557,100,155.590174,0.0,0
-322.725803,100,159.647391,0.0,0
-309.852286,100,163.975824,0.0,0
-286.206027,100,168.070561,0.0,0
-360.801146,100,171.958878,0.0,0
-296.621831,93,175.717018,1.0892817723333403,1
-320.261253,100,179.644885,0.0,0
-320.896861,100,183.460547,0.0,0
-322.019735,100,187.294737,0.0,0
-317.447468,100,191.287789,0.8566904010671403,2
-300.298152,100,195.109283,0.0,0
-325.194161,100,199.012653,0.0,0
-167.378014,62,201.694947,0.906681712875381,0
-331.609453,100,205.458739,0.0,1
-305.787155,100,209.356415,0.0,0
-331.281918,100,213.041133,0.0,0
-302.339152,100,239.257218,0.0,0
-324.269747,100,242.785758,0.0,0
-284.508365,100,246.698342,0.0,0
-309.758539,100,250.267134,0.0,2
-43.260523,16,250.854245,0.902059345273574,0
-215.540619,74,253.534985,0.9009107578088399,0
-314.028058,100,257.135874,0.0,0
-316.330756,100,260.598258,0.0,0
-323.501879,100,264.099289,0.0,0
-317.910416,100,267.633939,0.0,0
-317.427209,100,271.190251,0.0,0
-307.212101,100,274.819769,0.0,0
-309.113815,100,278.330338,0.0,0
-321.958735,100,281.812128,0.0,0
-37.945795,14,282.290269,0.9051986684634569,0
-309.162413,100,285.738613,0.0,1
-319.402125,100,289.270885,0.0,0
-307.269343,100,293.059271,0.0,2
-318.92596,100,296.853735,0.0,0
-307.290759,100,300.955876,0.0,0
-287.967175,100,305.072006,0.5716515910620216,0
-312.833767,100,310.694525,0.0,0
-312.208901,100,315.727741,0.0,0
-313.706845,100,320.190905,0.0,0
-44.317656,18,321.031237,0.900140884638359,2
-317.470622,100,325.354169,0.0,0
-319.866354,100,329.882121,0.0,0
-315.754484,100,334.343605,0.0,0
-311.202107,100,338.906026,0.0,0
-306.050179,100,343.792005,0.0,0
-318.610717,100,348.938477,0.0,0
-317.435446,100,355.307504,0.0,0
-39.452513,15,356.029246,0.909141998710314,0
-41.814474,16,356.876515,0.9002672908045273,0
-319.940908,100,361.888564,0.0,0
-323.538745,100,366.428781,0.0,0
-321.979434,100,371.256584,0.0,0
-313.177368,100,376.086972,0.0,1
-317.323443,100,380.931467,0.0,0
-69.431407,25,382.166774,0.9029562357123861,0
-313.068236,100,386.872947,0.0,0
-42.018583,16,387.553364,0.9055080820374287,0
-36.991762,14,388.200497,0.9017667768756313,0
-313.416437,100,392.932537,0.0,0
-44.152974,17,393.767056,0.9038721941870147,0
-316.640538,100,398.52775,0.0,0
-141.865541,50,400.761816,0.9772381408299852,1
-316.420634,100,405.316331,0.0,0
-41.80152,16,406.056359,0.9035631195416518,0
-318.068179,100,410.458135,0.0,0
-324.051402,100,415.008504,0.0,0
-321.423935,100,419.571086,0.0,0
-318.949776,100,424.111823,0.0,0
-323.169576,100,428.919041,0.0,0
-320.555119,100,433.575912,0.0,0
-319.008081,100,438.036863,0.0,0
